Bezirk,Domain,Status,Auth Code
nak-albstadt.de,nak-dusslingen.de,free,
nak-albstadt.de,nak-gammertingen.de,free,
nak-albstadt.de,nak-hechingen.de,free,
nak-albstadt.de,nak-moessingen.de,free,
nak-albstadt.de,nak-nehren.de,free,
nak-albstadt.de,nak-ofterdingen.de,free,
nak-albstadt.de,nak-moessingen-talheim.de,free,
nak-augsburg.de,nak-asbach-baeumenheim.de,free,
nak-augsburg.de,nak-augsburg-baerenkeller.de,free,
nak-augsburg.de,nak-augsburg-goeggingen.de,free,
nak-augsburg.de,nak-augsburg-haunstetten.de,free,
nak-augsburg.de,nak-augsburg-stettenstrasse.de,free,
nak-augsburg.de,nak-gersthofen.de,free,
nak-augsburg.de,nak-guenzburg.de,connect,
nak-augsburg.de,nak-landsberg.de,free,
nak-augsburg.de,nak-leipheim.de,free,
nak-augsburg.de,nak-meitingen.de,free,
nak-augsburg.de,nak-neusaess.de,free,
nak-augsburg.de,nak-schwabmuenchen.de,free,
nak-ulm.de,nak-strass.de,connect,
nak-augsburg.de,nak-wertingen.de,free,
nak-backnang.de,nak-aspach.de,free,
nak-backnang.de,nak-backnang.de,connect,
nak-backnang.de,nak-burgstall.de,free,
nak-backnang.de,nak-fichtenberg.de,free,
nak-backnang.de,nak-gaildorf.de,connect,
nak-backnang.de,nak-kirchberg.de,free,
nak-backnang.de,nak-lippoldsweiler.de,free,
nak-backnang.de,nak-mainhardt.de,free,
nak-backnang.de,nak-murrhardt.de,free,
nak-backnang.de,nak-neulautern.de,free,
nak-backnang.de,nak-oppenweiler.de,free,
nak-backnang.de,nak-sulzbach.de,connect,
nak-backnang.de,nak-unterbrueden.de,free,
nak-backnang.de,nak-wuestenrot.de,free,
nak-bamberg.de,nak-bad-kissingen.de,free,
nak-bamberg.de,nak-bad-neustadt.de,free,
nak-bamberg.de,nak-coburg.de,free,
nak-bamberg.de,nak-gaustadt.de,free,
nak-bamberg.de,nak-hassfurt.de,connect,
nak-bamberg.de,nak-kronach.de,free,
nak-bamberg.de,nak-lichtenfels.de,free,
nak-bamberg.de,nak-neustadt-bei-coburg.de,free,
nak-bamberg.de,nak-schweinfurt.de,connect,
nak-bietigheim-bissingen.de,nak-bietigheim-bissingen.de,connect,
nak-bietigheim-bissingen.de,nak-ensingen.de,free,
nak-bietigheim-bissingen.de,nak-freudental.de,free,
nak-bietigheim-bissingen.de,nak-friolzheim.de,free,
nak-bietigheim-bissingen.de,nak-hohenhaslach.de,free,
nak-bietigheim-bissingen.de,nak-horrheim.de,free,
nak-bietigheim-bissingen.de,nak-illingen.de,free,
nak-bietigheim-bissingen.de,nak-ingersheim.de,free,
nak-bietigheim-bissingen.de,nak-markgroeningen.de,free,
nak-bietigheim-bissingen.de,nak-metterzimmern.de,free,
nak-bietigheim-bissingen.de,nak-eberdingen-nussdorf.de,free,
nak-bietigheim-bissingen.de,nak-oberriexingen.de,free,
nak-bietigheim-bissingen.de,nak-sachsenheim.de,connect,
nak-bietigheim-bissingen.de,nak-sersheim.de,free,
nak-bietigheim-bissingen.de,nak-vaihingen-enz.de,free,
nak-bietigheim-bissingen.de,nak-wiernsheim.de,free,
nak-bretten.de,nak-eppingen.de,free,
nak-bretten.de,nak-freudenstein.de,free,
nak-bretten.de,nak-gondelsheim.de,free,
nak-bretten.de,nak-knittlingen.de,connect,
nak-bretten.de,nak-maulbronn.de,free,
nak-bretten.de,nak-oberderdingen.de,free,
nak-bretten.de,nak-oelbronn.de,connect,
nak-bretten.de,nak-rinklingen.de,free,
nak-bretten.de,nak-sulzfeld.de,free,
nak-bruchsal.de,nak-bad-schoenborn.de,free,
nak-bruchsal.de,nak-bruchsal-heidelsheim.de,free,
nak-bruchsal.de,nak-ka-neureut.de,free,
nak-bruchsal.de,nak-kraichtal.de,free,
nak-bruchsal.de,nak-linkenheim.de,free,
nak-bruchsal.de,nak-friedrichstal.de,free,
nak-bruchsal.de,nak-weingarten.de,free,
nak-calw.de,nak-bad-liebenzell.de,free,
nak-calw.de,nak-bad-teinach.de,free,
nak-calw.de,nak-bad-wildbad.de,free,
nak-calw.de,nak-calw-holzbronn.de,free,
nak-calw.de,nak-calw-stammheim.de,free,
nak-calw.de,nak-neubulach.de,free,
nak-calw.de,nak-neuenbuerg.de,free,
nak-calw.de,nak-oberreichenbach.de,free,
nak-calw.de,nak-schwann.de,free,
nak-calw.de,nak-wildberg.de,free,
nak-dornhan.de,nak-aistaig.de,free,
nak-dornhan.de,nak-alpirsbach.de,free,
nak-dornhan.de,nak-bergfelden.de,free,
nak-dornhan.de,nak-betzweiler.de,free,
nak-dornhan.de,nak-fluorn.de,free,
nak-dornhan.de,nak-haslach.de,free,
nak-dornhan.de,nak-hochmoessingen.de,free,
nak-dornhan.de,nak-lindenhof.de,free,
nak-dornhan.de,nak-oberndorf.de,free,
nak-dornhan.de,nak-roetenberg.de,free,
nak-dornhan.de,nak-schramberg.de,free,
nak-dornhan.de,nak-sigmarswangen.de,free,
nak-dornhan.de,nak-sulgen.de,free,
nak-dornhan.de,nak-sulz.de,free,
nak-dornhan.de,nak-voehringen.de,free,
nak-dornhan.de,nak-wittershausen.de,free,
nak-dornhan.de,nak-wolfach.de,free,
nak-eberbach.de,nak-bammental.de,connect,
nak-eberbach.de,nak-buchen.de,connect,
nak-eberbach.de,nak-darsberg.de,connect,
nak-eberbach.de,nak-epfenbach.de,connect,
nak-eberbach.de,nak-eschelbronn.de,connect,
nak-eberbach.de,nak-hassmersheim.de,connect,
nak-eberbach.de,nak-michelstadt.de,connect,
nak-eberbach.de,nak-mosbach.de,connect,
nak-eberbach.de,nak-mueckenloch.de,connect,
nak-eberbach.de,nak-neckarbischofsheim.de,free,
nak-eberbach.de,nak-sinsheim.de,connect,
nak-esslingen.de,nak-altbach.de,free,
nak-esslingen.de,nak-baltmannsweiler.de,free,
nak-esslingen.de,nak-berkheim.de,free,
nak-esslingen.de,nak-denkendorf.de,free,
nak-esslingen.de,nak-mettingen.de,free,
nak-esslingen.de,nak-neuhausen.de,free,
nak-esslingen.de,nak-plochingen.de,free,
nak-esslingen.de,nak-sulzgries.de,free,
nak-esslingen.de,nak-waeldenbronn.de,free,
nak-freiburg-offenburg.de,nak-bad-krozingen.de,free,
nak-freiburg-offenburg.de,nak-bischoffingen.de,free,
nak-freiburg-offenburg.de,nak-boetzingen.de,free,
nak-freiburg-offenburg.de,nak-breisach.de,free,
nak-freiburg-offenburg.de,nak-denzlingen.de,free,
nak-freiburg-offenburg.de,nak-emmendingen.de,free,
nak-freiburg-offenburg.de,nak-freiburg-ost.de,free,
nak-freiburg-offenburg.de,nak-fr-weingarten.de,free,
nak-freiburg-offenburg.de,nak-freiamt.de,free,
nak-freiburg-offenburg.de,nak-koendringen.de,free,
nak-freiburg-offenburg.de,nak-muellheim.de,free,
nak-freiburg-offenburg.de,nak-titisee-neustadt.de,free,
nak-freiburg-offenburg.de,nak-waldkirch.de,free,
nak-freiburg-offenburg.de,nak-wolfenweiler.de,free,
nak-freudenstadt.de,nak-klosterreichenbach.de,free,
nak-freudenstadt.de,nak-mittellangenbach.de,free,
nak-freudenstadt.de,nak-roet.de,free,
nak-freudenstadt.de,nak-tonbach.de,free,
nak-freudenstadt.de,nak-baiersbronn.de,free,
nak-freudenstadt.de,nak-besenfeld.de,free,
nak-freudenstadt.de,nak-dietersweiler.de,free,
nak-freudenstadt.de,nak-dornstetten.de,free,
nak-freudenstadt.de,nak-erzgrube.de,free,
nak-freudenstadt.de,nak-glatten.de,free,
nak-freudenstadt.de,nak-lossburg.de,free,
nak-freudenstadt.de,nak-musbach.de,free,
nak-freudenstadt.de,nak-schopfloch.de,free,
nak-freudenstadt.de,nak-wittlensweiler.de,free,
nak-goeppingen.de,nak-adelberg.de,free,
nak-goeppingen.de,nak-albershausen.de,free,
nak-goeppingen.de,nak-bad-boll.de,free,
nak-goeppingen.de,nak-bartenbach.de,free,
nak-goeppingen.de,nak-ebersbach.de,free,
nak-goeppingen.de,nak-eislingen.de,connect,
nak-goeppingen.de,nak-faurndau.de,free,
nak-goeppingen.de,nak-hattenhofen.de,free,
nak-goeppingen.de,nak-maitis.de,free,
nak-goeppingen.de,nak-nassach.de,free,
nak-goeppingen.de,nak-suessen.de,free,
nak-goeppingen.de,nak-uhingen.de,free,
nak-heidelberg.de,nak-heidelberg-neuenheim.de,free,
nak-heidelberg.de,nak-hd-rohrbach.de,free,
nak-heidelberg.de,nak-hd-wieblingen.de,free,
nak-heidelberg.de,nak-edingen.de,free,
nak-heidelberg.de,nak-sandhausen.de,free,
nak-heidelberg.de,nak-schriesheim.de,free,
nak-heidelberg.de,nak-wiesloch.de,free,
nak-heidelberg.de,nak-wilhelmsfeld.de,free,
nak-heidenheim.de,nak-altheim.de,free,
nak-heidenheim.de,nak-aufhausen.de,free,
nak-heidenheim.de,nak-geislingen.de,free,
nak-heidenheim.de,nak-gerstetten.de,free,
nak-heidenheim.de,nak-giengen.de,free,
nak-heidenheim.de,nak-herbrechtingen.de,free,
nak-heidenheim.de,nak-kuchen.de,free,
nak-heidenheim.de,nak-langenau.de,free,
nak-heidenheim.de,nak-nattheim.de,free,
nak-heidenheim.de,nak-niederstotzingen.de,free,
nak-heidenheim.de,nak-sontheim.de,free,
nak-heidenheim.de,nak-steinheim.de,free,
nak-heidenheim.de,nak-wiesensteig.de,free,
nak-hn.de,nak-bad-friedrichshall.de,free,
nak-hn.de,nak-bad-rappennau.de,free,
nak-hn.de,nak-bad-wimpfen.de,free,
nak-hn.de,nak-besigheim.de,connect,
nak-hn.de,nak-boennigheim.de,free,
nak-hn.de,nak-ellhofen.de,free,
nak-hn.de,nak-grossbottwar.de,free,
nak-hn.de,nak-gueglingen.de,free,
nak-hn.de,nak-hn-boeckingen.de,free,
nak-hn.de,nak-hn-horkheim.de,free,
nak-hn.de,nak-hn-pfuehl.de,free,
nak-hn.de,nak-ilsfeld.de,free,
nak-hn.de,nak-lauffen.de,free,
nak-hn.de,nak-leingarten.de,connect,
nak-hn.de,nak-mundelsheim.de,free,
nak-hn.de,nak-nordheim.de,connect,
nak-hn.de,nak-oberstenfeld.de,free,
nak-hn.de,nak-weinsberg.de,free,
nak-hof.de,nak-bayreuth.de,free,
nak-hof.de,nak-kulmbach.de,free,
nak-hof.de,nak-marktredwitz.de,free,
nak-hof.de,nak-muenchberg.de,free,
nak-hof.de,nak-naila.de,free,
nak-hof.de,nak-pegnitz.de,free,
nak-karlsruhe.de,nak-achern.de,free,
nak-karlsruhe.de,nak-bad-herrenalb.de,free,
nak-karlsruhe.de,nak-baden-baden.de,connect,
nak-karlsruhe.de,nak-buehl.de,free,
nak-karlsruhe.de,nak-durlach.de,free,
nak-karlsruhe.de,nak-ettlingen.de,free,
nak-karlsruhe.de,nak-gaggenau.de,free,
nak-karlsruhe.de,nak-gernsbach.de,free,
nak-karlsruhe.de,nak-ka-groetzingen.de,free,
nak-karlsruhe.de,nak-bad-herrenalb.de,free,
nak-karlsruhe.de,nak-ittersbach.de,free,
nak-karlsruhe.de,nak-ka-mitte.de,free,
nak-karlsruhe.de,nak-ka-weiherfeld.de,free,
nak-karlsruhe.de,nak-ka-knielingen.de,free,
nak-karlsruhe.de,nak-langensteinbach.de,free,
nak-karlsruhe.de,nak-lichtenau.de,free,
nak-karlsruhe.de,nak-loffenau.de,free,
nak-karlsruhe.de,nak-malsch.de,connect,Gh/gU7/C
nak-karlsruhe.de,nak-ka-nordost.de,free,
nak-karlsruhe.de,nak-ka-sued.de,free,
nak-karlsruhe.de,nak-ka-weiherfeld.de,free,
nak-karlsruhe.de,nak-ka-west.de,free,
nak-kempten.de,nak-blaichach.de,free,
nak-kempten.de,nak-dietmannsried.de,free,
nak-kempten.de,nak-immenstadt.de,free,
nak-kempten.de,nak-isny.de,free,
nak-kempten.de,nak-ke-sankt-mang.de,free,
nak-kempten.de,nak-kempten-ost.de,free,
nak-kempten.de,nak-kempten-sued.de,free,
nak-kempten.de,nak-lindenberg.de,free,
nak-kempten.de,nak-oberguenzburg.de,free,
nak-kempten.de,nak-oberstaufen.de,free,
nak-kempten.de,nak-oberstdorf.de,free,
nak-kempten.de,nak-seltmans.de,free,
nak-kempten.de,nak-sonthofen.de,connect,
nak-kempten.de,nak-waltenhofen.de,free,
nak-kempten.de,nak-weiler.de,connect,
nak-kirchheim.de,nak-dettingen.de,free,
nak-kirchheim.de,nak-erkenbrechtsweiler.de,free,
nak-kirchheim.de,nak-koengen.de,free,
nak-kirchheim.de,nak-lenningen.de,free,
nak-kirchheim.de,nak-oetlingen.de,free,
nak-kirchheim.de,nak-ohmden.de,free,
nak-kirchheim.de,nak-schlierbach.de,free,
nak-kirchheim.de,nak-weilheim.de,free,
nak-kirchheim.de,nak-wendlingen.de,free,
